img,board_matched,time
13,False,10.679683923721313
14,False,13.425721883773804
15,False,16.74927282333374
16,False,18.859195709228516
17,False,22.81325602531433
18,False,22.822273015975952
20,False,30.60905385017395
21,False,27.48417592048645
22,False,28.294529914855957
23,False,30.91757106781006
24,False,33.9834418296814
25,False,36.29354119300842
31,False,39.31891584396362
26,False,41.74670195579529
27,False,43.99814796447754
28,False,47.67295813560486
29,False,48.774101972579956
30,False,51.06043004989624
31,False,10.684372901916504
32,False,14.809790849685669
33,False,16.51816987991333
34,False,19.60204815864563
31,False,10.684372901916504
32,False,14.809790849685669
33,False,16.51816987991333
34,False,19.60204815864563
35,False,21.596622943878174
36,False,25.601393938064575
37,False,29.517811059951782
38,False,30.533808946609497
39,False,35.0253119468689
40,False,37.71558094024658
31,False,10.684372901916504
32,False,14.809790849685669
33,False,16.51816987991333
34,False,19.60204815864563
35,False,21.596622943878174
36,False,25.601393938064575
37,False,29.517811059951782
38,False,30.533808946609497
39,False,35.0253119468689
40,False,37.71558094024658
42,False,42.02417802810669
43,False,42.32918906211853
44,False,45.322434186935425
45,False,45.205060958862305
46,False,49.0881872177124
31,False,10.684372901916504
32,False,14.809790849685669
33,False,16.51816987991333
34,False,19.60204815864563
35,False,21.596622943878174
36,False,25.601393938064575
37,False,29.517811059951782
38,False,30.533808946609497
39,False,35.0253119468689
40,False,37.71558094024658
42,False,42.02417802810669
43,False,42.32918906211853
44,False,45.322434186935425
45,False,45.205060958862305
46,False,49.0881872177124
47,False,51.93242812156677
48,False,56.860960960388184
49,False,59.11324405670166
50,False,61.95667624473572
31,False,10.684372901916504
32,False,14.809790849685669
33,False,16.51816987991333
34,False,19.60204815864563
35,False,21.596622943878174
36,False,25.601393938064575
37,False,29.517811059951782
38,False,30.533808946609497
39,False,35.0253119468689
40,False,37.71558094024658
42,False,42.02417802810669
43,False,42.32918906211853
44,False,45.322434186935425
45,False,45.205060958862305
46,False,49.0881872177124
47,False,51.93242812156677
48,False,56.860960960388184
49,False,59.11324405670166
50,False,61.95667624473572
51,False,63.93911409378052
52,False,67.21510791778564
53,False,77.19392585754395
54,False,81.35307598114014
55,False,74.186772108078
31,False,10.684372901916504
32,False,14.809790849685669
33,False,16.51816987991333
34,False,19.60204815864563
35,False,21.596622943878174
36,False,25.601393938064575
37,False,29.517811059951782
38,False,30.533808946609497
39,False,35.0253119468689
40,False,37.71558094024658
42,False,42.02417802810669
43,False,42.32918906211853
44,False,45.322434186935425
45,False,45.205060958862305
46,False,49.0881872177124
47,False,51.93242812156677
48,False,56.860960960388184
49,False,59.11324405670166
50,False,61.95667624473572
51,False,63.93911409378052
52,False,67.21510791778564
53,False,77.19392585754395
54,False,81.35307598114014
55,False,74.186772108078
57,False,77.72796392440796
58,False,80.28190279006958
59,False,82.55370426177979
60,False,91.30792427062988
61,False,93.11863994598389
31,False,10.684372901916504
32,False,14.809790849685669
33,False,16.51816987991333
34,False,19.60204815864563
35,False,21.596622943878174
36,False,25.601393938064575
37,False,29.517811059951782
38,False,30.533808946609497
39,False,35.0253119468689
40,False,37.71558094024658
42,False,42.02417802810669
43,False,42.32918906211853
44,False,45.322434186935425
45,False,45.205060958862305
46,False,49.0881872177124
47,False,51.93242812156677
48,False,56.860960960388184
49,False,59.11324405670166
50,False,61.95667624473572
51,False,63.93911409378052
52,False,67.21510791778564
53,False,77.19392585754395
54,False,81.35307598114014
55,False,74.186772108078
57,False,77.72796392440796
58,False,80.28190279006958
59,False,82.55370426177979
60,False,91.30792427062988
61,False,93.11863994598389
62,False,93.73241519927979
63,False,96.30824494361877
64,False,98.18859481811523
